Position,Team,Played,Won,Drawn,Lost,Goals_For,Goals_Against,Goal_Difference,Points,Win_Rate,Draw_Rate,Loss_Rate,Opponent_1,Opponent_2,Opponent_Strength,Goals_For_Per_Game,Goals_Against_Per_Game,Points_Per_Game,Goal_Efficiency,Goal_Difference_Per_Game,Max_Points
1,Liverpool,6,6,0,0,13,1,12,18,1,0,0,Lille,PSV Eindhoven,4.1,2.166666667,0.166666667,3,0.928571429,2,24
2,Barcelona,6,5,0,1,21,7,14,15,0.833,0,0.167,Benfica,Atalanta,5.15,3.5,1.166666667,2.5,0.75,2.333333333,21
3,Arsenal,6,4,1,1,11,2,9,13,0.667,0.167,0.167,Dinamo Zagreb,Girona,0.1,1.833333333,0.333333333,2.166666667,0.846153846,1.5,19
4,Bayer Leverkusen,6,4,1,1,12,5,7,13,0.667,0.167,0.167,Atletico Madrid,Sparta Prague,1.5168,2,0.833333333,2.166666667,0.705882353,1.166666667,19
5,Aston Villa,6,4,1,1,9,3,6,13,0.667,0.167,0.167,Monaco,Celtic,3.3166,1.5,0.5,2.166666667,0.75,1,19
6,Inter Milan,6,4,1,1,7,1,6,13,0.667,0.167,0.167,Sparta Prague,Monaco,0.8834,1.166666667,0.166666667,2.166666667,0.875,1,19
7,Brest,6,4,1,1,10,6,4,13,0.667,0.167,0.167,Shakhtar Donetsk,Real Madrid,1.0334,1.666666667,1,2.166666667,0.625,0.666666667,19
8,Lille,6,4,1,1,10,7,3,13,0.667,0.167,0.167,Liverpool,Feyenoord,6.15,1.666666667,1.166666667,2.166666667,0.588235294,0.5,19
9,Borussia Dortmund,6,4,0,2,18,9,9,12,0.667,0,0.333,Bologna,Shakhtar Donetsk,-1.1666,3,1.5,2,0.666666667,1.5,18
10,Bayern Munich,6,4,0,2,17,8,9,12,0.667,0,0.333,Feyenoord,SK Slovan Bratislava,-0.95,2.833333333,1.333333333,2,0.68,1.5,18
11,Atletico Madrid,6,4,0,2,14,10,4,12,0.667,0,0.333,Bayer Leverkusen,Red Bull Salzburg,1.3668,2.333333333,1.666666667,2,0.583333333,0.666666667,18
12,AC Milan,6,4,0,2,12,9,3,12,0.667,0,0.333,Girona,Dinamo Zagreb,0.1,2,1.5,2,0.571428571,0.5,18
13,Atalanta,6,3,2,1,13,4,9,11,0.5,0.333,0.167,Sturm Graz,Barcelona,4.25,2.166666667,0.666666667,1.833333333,0.764705882,1.5,17
