Team,Won,Drawn,Lost,Goals_For,Goals_Against,Goal_Difference,Points,Win_Rate,Draw_Rate,Loss_Rate,Goal_Difference_Per_Match,Point_Per_Match,Opponent_1,Opponent_2,Opponent_Strength,Goal_Efficiency,Max_Points
Liverpool,6,0,0,13,1,12,18,1.0,0.0,0.0,2.0,3.0,Lille,PSV Eindhoven,0.8857051007286756,0.9285714285714286,24
Barcelona,5,0,1,21,7,14,15,0.833,0.0,0.167,2.333,2.5,Benfica,Atalanta,0.9357265323617661,0.75,21
Arsenal,4,1,1,11,2,9,13,0.667,0.167,0.167,1.5,2.167,Dinamo Zagreb,Girona,0.32138163309044154,0.8461538461538461,19
Bayer Leverkusen,4,1,1,12,5,7,13,0.667,0.167,0.167,1.167,2.167,Atletico Madrid,Sparta Prague,0.5668714316330903,0.7058823529411765,19
Aston Villa,4,1,1,9,3,6,13,0.667,0.167,0.167,1.0,2.167,Monaco,Celtic,0.7809734676382339,0.75,19
Inter Milan,4,1,1,7,1,6,13,0.667,0.167,0.167,1.0,2.167,Sparta Prague,Monaco,0.4692551007286756,0.875,19
Brest,4,1,1,10,6,4,13,0.667,0.167,0.167,0.667,2.167,Shakhtar Donetsk,Real Madrid,0.4334714316330904,0.625,19
Lille,4,1,1,10,7,3,13,0.667,0.167,0.167,0.5,2.167,Liverpool,Feyenoord,1.2286683669095584,0.5882352941176471,19
Borussia Dortmund,4,0,2,18,9,9,12,0.667,0.0,0.333,1.5,2.0,Bologna,Shakhtar Donetsk,0.08334999999999998,0.6666666666666666,18
Bayern Munich,4,0,2,17,8,9,12,0.667,0.0,0.333,1.5,2.0,Feyenoord,SK Slovan Bratislava,0.22862550364337772,0.68,18
Atletico Madrid,4,0,2,14,10,4,12,0.667,0.0,0.333,0.667,2.0,Bayer Leverkusen,Red Bull Salzburg,0.5597132661808829,0.5833333333333334,18
AC Milan,4,0,2,12,9,3,12,0.667,0.0,0.333,0.5,2.0,Girona,Dinamo Zagreb,0.32138163309044154,0.5714285714285714,18
Atalanta,3,2,1,13,4,9,11,0.5,0.333,0.167,1.5,1.833,Sturm Graz,Barcelona,0.7642948992713245,0.7647058823529411,17
Juventus,3,2,1,9,5,4,11,0.5,0.333,0.167,0.667,1.833,Club Brugge,Benfica,0.8073581654522076,0.6428571428571429,17
Benfica,3,1,2,10,7,3,10,0.5,0.167,0.333,0.5,1.667,Barcelona,Juventus,1.1950897985426492,0.5882352941176471,16
Monaco,3,1,2,12,10,2,10,0.5,0.167,0.333,0.333,1.667,Aston Villa,Inter Milan,1.152626532361766,0.5454545454545454,16
Sporting Lisbon,3,1,2,11,9,2,10,0.5,0.167,0.333,0.333,1.667,RB Leipzig,Bologna,-0.09298469781397341,0.55,16
Feyenoord,3,1,2,14,15,-1,10,0.5,0.167,0.333,-0.167,1.667,Bayern Munich,Lille,1.1025765323617662,0.4827586206896552,16
Club Brugge,3,1,2,6,8,-2,10,0.5,0.167,0.333,-0.333,1.667,Juventus,Manchester City,0.8236295970852978,0.42857142857142855,16
Real Madrid,3,0,3,12,11,1,9,0.5,0.0,0.5,0.167,1.5,Red Bull Salzburg,Brest,0.5382816330904414,0.5217391304347826,15
Celtic,2,3,1,10,10,0,9,0.333,0.5,0.167,0.0,1.5,BSC Young Boys Bern,Aston Villa,0.39056530218602653,0.5,15
Manchester City,2,2,2,13,9,4,8,0.333,0.333,0.333,0.667,1.333,Paris Saint-Germain,Club Brugge,0.6525265323617662,0.5909090909090909,14
PSV Eindhoven,2,2,2,10,8,2,8,0.333,0.333,0.333,0.333,1.333,Crvena Zvezda,Liverpool,0.8548316330904416,0.5555555555555556,14
Dinamo Zagreb,2,2,2,10,15,-5,8,0.333,0.333,0.333,-0.833,1.333,Arsenal,AC Milan,1.1025765323617662,0.4,14
Paris Saint-Germain,2,1,3,6,6,0,7,0.333,0.167,0.5,0.0,1.167,Manchester City,Stuttgart,0.5904081654522075,0.5,13
Stuttgart,2,1,3,9,12,-3,7,0.333,0.167,0.5,-0.5,1.167,SK Slovan Bratislava,Paris Saint-Germain,0.10238366909558515,0.42857142857142855,13
Shakhtar Donetsk,1,1,4,5,13,-8,4,0.167,0.167,0.667,-1.333,0.667,Brest,Borussia Dortmund,1.1097346978139737,0.2777777777777778,10
Sparta Prague,1,1,4,7,18,-11,4,0.167,0.167,0.667,-1.833,0.667,Inter Milan,Bayer Leverkusen,1.1597846978139734,0.28,10
Sturm Graz,1,0,5,4,9,-5,3,0.167,0.0,0.833,-0.833,0.5,Atalanta,RB Leipzig,0.41417346763823404,0.3076923076923077,9
Girona,1,0,5,4,10,-6,3,0.167,0.0,0.833,-1.0,0.5,AC Milan,Arsenal,1.1025765323617662,0.2857142857142857,9
Crvena Zvezda,1,0,5,10,19,-9,3,0.167,0.0,0.833,-1.5,0.5,PSV Eindhoven,BSC Young Boys Bern,0.14507550364337765,0.3448275862068966,9
